blkgrp,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""360010016001""",1.00,1118.00,402.00,55.98,34,41,39,18,23,21,16,19,18,5.63,40.44,1.27,1,1,15860,15577,15923,15,15,15,9798,9167,9425,5920,5351,5529,3598,3532,3611,280,283,285,210,212,214,9.0,9.7,13.81,7.18,32040,17,67516,74,6,229,733,926,1795,740,18,82
"""360010016002""",1.00,788.00,334.00,52.11,45,55,51,28,35,32,17,20,19,6.63,42.50,1.36,1,1,16908,16624,16971,12,12,12,10419,9766,10024,6367,5777,5955,3836,3770,3848,216,219,221,162,164,166,8.6,9.7,9.15,6.41,31266,31,63174,74,7,258,679,1415,1784,1067,49,51
"""360010016003""",1.00,914.00,373.00,55.58,48,58,54,30,37,34,18,21,20,7.87,52.79,1.43,1,1,17834,17551,17897,12,13,13,10940,10273,10531,6666,6062,6240,4046,3980,4058,229,231,233,172,174,175,8.1,9.7,7.45,6.71,31006,50,63078,75,8,345,753,1522,1881,1029,58,42
"""360010016004""",1.00,994.00,421.00,62.49,44,53,50,26,33,30,18,21,20,7.62,51.35,1.40,1,1,17704,17420,17766,12,13,13,10797,10136,10394,6550,5952,6129,4016,3950,4029,231,234,236,174,176,177,8.3,9.7,8.11,6.74,29529,45,58176,74,5,328,626,1331,1713,968,49,51
"""360010017001""",1.00,996.00,449.00,93.08,44,53,50,27,33,31,17,20,19,7.06,34.05,1.36,1,1,16904,16620,16967,14,15,15,10440,9788,10046,6338,5750,5927,3835,3769,3847,267,270,272,200,203,204,8.5,9.6,8.47,4.82,29502,35,56587,73,3,378,487,1358,2215,757,41,59
"""360010017002""",1.00,1611.00,603.00,69.08,45,56,52,29,36,33,17,20,19,8.82,76.97,1.36,1,1,16741,16457,16804,13,13,13,10379,9727,9986,6344,5755,5933,3798,3732,3811,238,240,243,178,181,182,8.7,9.7,8.96,8.73,29461,34,57633,74,5,287,580,1457,1902,1202,36,64
"""360010017003""",1.00,1563.00,577.00,109.41,42,52,48,25,31,29,18,21,20,7.66,40.38,1.41,1,1,17576,17293,17639,13,13,13,10811,10148,10406,6587,5987,6165,3987,3921,4000,236,239,241,177,179,181,8.2,9.6,7.91,5.27,27226,39,49700,73,7,263,679,1269,1875,994,31,69
"""360010017004""",1.00,637.00,300.00,66.28,49,60,56,30,37,35,19,22,21,7.99,36.16,1.51,1,1,18595,18312,18658,11,12,12,11502,10816,11074,7072,6449,6626,4218,4152,4231,212,215,217,159,161,163,7.5,9.6,3.83,4.53,26690,63,47126,73,4,406,562,1532,1813,1059,63,37
"""360010018011""",1.00,869.00,342.00,76.17,53,65,61,33,41,38,20,24,22,8.27,37.15,1.65,2,2,19596,19312,19658,12,12,12,12366,11651,11909,7698,7046,7224,4445,4379,4458,223,226,228,167,169,171,5.5,9.6,3.82,4.49,26219,94,52109,72,10,227,963,1683,1979,986,70,30
"""360010018012""",1.00,1626.00,786.00,209.52,49,60,56,30,37,34,19,23,22,7.85,29.44,1.59,2,2,18943,18659,19006,10,10,10,11899,11196,11454,7423,6784,6961,4297,4231,4310,178,181,183,134,136,138,6.8,9.5,5.13,3.75,24106,69,45159,72,9,186,1008,1513,1688,1124,69,31
"""360010018013""",1.00,1574.00,704.00,172.75,47,57,53,27,34,32,19,23,22,7.84,31.94,1.57,1,2,19178,18894,19241,11,11,11,11858,11161,11419,7312,6678,6856,4351,4285,4363,196,198,200,147,149,151,6.9,9.5,4.80,4.08,22773,68,39000,72,6,237,644,1398,1585,970,70,30
"""360010018014""",1.00,884.00,449.00,152.96,50,62,57,30,38,35,20,24,23,8.44,24.77,1.65,2,2,20105,19821,20168,10,10,10,12445,11729,11987,7700,7048,7226,4561,4495,4573,183,186,188,138,140,141,5.8,9.4,3.96,2.94,21414,83,36860,71,7,243,729,1538,1661,1120,77,23
"""360010018015""",1.00,2246.00,1089.00,1377.68,52,64,59,31,39,36,21,25,23,8.16,6.45,1.72,2,2,21085,20801,21147,7,7,7,12933,12202,12460,8018,7351,7529,4783,4717,4796,131,134,136,99,101,102,4.9,9.4,2.15,0.79,15958,63,28013,71,46,40,1843,1581,2024,677,67,33
"""360010018021""",1.00,1075.00,553.00,96.11,45,54,51,26,32,30,19,22,21,7.49,43.12,1.53,1,2,18182,17899,18245,12,12,12,11467,10779,11037,7129,6504,6681,4125,4059,4137,213,216,218,160,162,164,7.4,9.5,5.30,5.75,22257,63,51538,72,6,313,839,1319,1476,964,69,31
"""360010018022""",1.00,1581.00,790.00,244.78,42,51,48,23,29,27,19,22,21,7.26,23.43,1.55,1,2,18889,18605,18952,8,8,8,11668,10975,11233,7241,6610,6787,4285,4219,4298,143,145,147,107,109,111,7.5,9.4,5.56,3.23,20443,51,42070,71,7,154,728,1181,1668,591,55,45
"""360010018023""",1.00,610.00,220.00,59.05,49,60,56,30,37,34,19,23,21,8.97,33.41,1.57,2,2,19016,18733,19079,8,9,9,11790,11092,11350,7320,6686,6864,4314,4248,4326,156,158,160,117,119,120,7.5,9.5,5.59,3.73,19455,61,49230,71,3,444,488,1511,1658,941,80,20
"""360010018024""",1.00,909.00,466.00,71.03,42,52,48,24,30,27,19,22,21,6.68,43.83,1.54,1,2,18169,17886,18232,12,12,12,11536,10845,11103,7194,6565,6743,4122,4056,4134,221,224,226,166,168,170,7.4,9.5,7.32,6.56,18957,69,51069,72,4,369,541,1206,1327,937,69,31
"""360010019011""",1.00,656.00,242.00,66.50,52,64,59,32,40,37,20,24,22,9.35,34.03,1.62,2,2,19990,19707,20053,12,12,12,12323,11614,11872,7570,6924,7102,4535,4469,4547,218,221,223,164,166,167,5.4,9.8,5.85,3.64,29287,93,63886,75,13,183,943,1627,1663,1417,86,14
"""360010019012""",1.00,755.00,381.00,56.91,47,57,53,28,35,32,19,22,21,7.22,48.33,1.49,1,1,18521,18238,18584,12,12,12,11377,10697,10955,6961,6344,6521,4202,4136,4214,214,217,219,161,163,165,7.5,9.8,6.90,6.69,28105,64,59960,75,9,202,852,1432,1484,1380,50,50
"""360010019013""",1.00,1274.00,511.00,91.82,53,65,60,34,43,40,19,22,21,8.58,47.73,1.50,1,1,18733,18450,18796,11,12,12,11468,10785,11043,7007,6387,6565,4250,4184,4262,211,214,216,158,161,162,7.4,9.7,6.29,5.57,27211,64,54063,74,7,258,764,1749,1826,1306,85,15
"""360010019021""",1.00,790.00,342.00,59.88,53,65,60,33,41,38,20,24,22,9.19,52.49,1.62,2,2,20191,19908,20254,12,12,12,12362,11653,11911,7561,6915,7092,4581,4514,4593,220,223,225,166,168,169,5.4,9.8,5.46,5.71,25161,100,55846,75,7,310,856,1669,1684,1500,92,8
"""360010019022""",1.00,909.00,417.00,74.43,50,61,57,30,38,35,20,23,22,8.26,46.27,1.59,2,2,19810,19526,19872,11,11,11,12121,11419,11677,7424,6784,6962,4494,4428,4506,204,206,208,153,155,157,6.4,9.7,5.06,5.60,24580,87,46837,74,5,327,592,1542,1663,743,87,13
"""360010019023""",1.00,920.00,456.00,155.48,52,63,59,31,39,36,21,25,23,8.20,24.04,1.69,2,2,20799,20515,20862,11,11,11,12807,12082,12341,7894,7233,7411,4718,4652,4731,194,197,199,146,148,150,4.3,9.7,3.81,2.93,22788,100,46964,74,14,177,929,1574,1574,,99,1
"""360010020001""",1.00,1909.00,642.00,88.97,43,53,49,27,33,31,17,19,18,7.65,55.21,1.30,1,1,16581,16298,16644,15,15,15,10124,9484,9742,6094,5517,5694,3762,3696,3774,268,271,273,202,204,205,8.6,9.8,8.26,7.22,27123,26,69060,76,10,252,830,1366,1789,961,49,51
"""360010020002""",1.00,1437.00,453.00,31.52,40,48,45,22,27,25,18,21,20,8.57,123.13,1.40,1,1,18011,17728,18074,14,14,14,10895,10234,10492,6553,5955,6132,4086,4020,4099,256,259,261,192,194,196,8.1,9.8,13.55,14.37,24502,61,60490,75,5,467,621,1114,1341,859,53,47
"""360010020003""",1.00,776.00,322.00,34.03,36,44,41,20,25,23,16,19,18,7.12,67.33,1.27,1,1,16395,16111,16457,13,13,14,9898,9266,9524,5933,5363,5541,3719,3653,3732,246,249,251,185,187,189,9.0,9.7,10.49,9.46,22655,16,54788,75,4,489,525,1027,1283,913,31,69
"""360010020004""",1.00,838.00,357.00,46.90,39,47,44,21,26,24,18,21,20,7.97,60.66,1.40,1,1,17924,17640,17986,13,13,13,10866,10205,10463,6557,5959,6136,4066,4000,4079,243,246,248,183,185,186,8.1,9.7,8.40,7.61,23165,50,52670,75,5,328,564,1074,1411,874,37,63
"""360010020005""",1.00,1234.00,574.00,512.97,42,52,48,23,29,27,19,23,22,8.21,9.19,1.55,1,2,19778,19495,19841,10,10,10,11898,11205,11463,7231,6600,6778,4487,4421,4499,181,184,186,136,138,140,6.5,9.7,7.79,1.12,20931,52,47774,74,11,132,829,1176,1443,827,57,43
"""360010021001""",1.00,1053.00,511.00,29.56,31,38,36,17,21,20,14,17,16,5.59,96.56,1.09,1,1,14747,14463,14809,20,20,20,8788,8195,8453,5081,4552,4729,3345,3280,3358,361,364,366,271,273,275,9.5,9.8,23.83,17.29,31222,0,89609,77,3,390,495,865,,865,3,97
"""360010021002""",1.00,1296.00,173.00,257.31,40,48,45,22,27,25,18,21,20,6.04,4.06,1.41,1,1,18628,18344,18691,15,15,15,11073,10411,10669,6569,5970,6147,4226,4160,4238,278,281,283,209,211,213,7.1,9.9,3.81,0.67,30650,34,86180,77,26,99,1190,1107,1481,841,42,58
"""360010021003""",1.00,654.00,251.00,74.05,33,40,38,17,21,20,16,19,18,5.71,19.35,1.28,1,1,16392,16109,16455,15,16,16,9989,9354,9612,5984,5412,5589,3719,3653,3731,287,289,291,215,217,219,8.5,9.8,18.78,3.39,32294,20,90362,77,12,182,903,870,,870,20,80
"""360010022001""",1.00,1116.00,768.00,33.10,32,39,37,18,23,21,14,17,16,4.35,100.93,1.09,1,1,14334,14050,14397,20,20,20,8711,8118,8376,5095,4565,4743,3252,3186,3265,364,366,369,273,275,277,9.5,9.8,26.63,23.20,29195,1,87641,76,4,367,574,927,1459,697,30,70
"""360010022002""",1.00,1341.00,629.00,28.28,31,38,35,17,21,19,15,17,16,5.14,114.30,1.11,1,1,14815,14532,14878,18,18,18,8899,8301,8559,5204,4669,4846,3361,3295,3374,334,337,339,251,253,255,9.4,9.8,21.14,22.24,28672,4,86969,76,4,430,539,855,1092,752,30,70
"""360010023001""",1.00,753.00,478.00,35.91,30,36,34,14,18,17,15,18,17,3.94,52.42,1.19,1,1,15557,15273,15620,16,16,16,9377,8762,9020,5560,5008,5185,3529,3464,3542,288,291,293,216,219,220,9.2,9.8,17.44,13.31,25559,10,82678,76,5,463,733,739,1057,630,26,74
"""360010023002""",1.00,1033.00,472.00,122.33,33,39,37,17,21,20,16,18,17,5.98,23.09,1.23,1,1,15670,15387,15733,15,16,16,9570,8947,9205,5731,5171,5349,3555,3489,3568,284,287,289,213,215,217,8.9,9.8,22.43,3.86,25542,7,82229,76,6,272,656,865,1184,733,29,71
"""360010025003""",1.00,688.00,262.00,46.24,30,36,34,15,18,17,15,18,17,5.48,31.08,1.19,1,1,15379,15096,15442,17,17,17,9348,8734,8992,5554,5003,5180,3489,3423,3502,305,308,310,229,231,233,9.2,9.7,11.91,5.67,24229,2,79150,74,3,637,411,749,,749,4,96
"""360010025001""",1.00,741.00,467.00,67.38,22,27,25,7,9,8,15,18,17,3.54,24.56,1.21,1,1,15207,14924,15270,14,14,14,9363,8744,9002,5652,5096,5273,3450,3384,3463,261,264,266,196,198,200,9.3,9.6,26.96,6.93,22067,2,74857,73,2,959,373,356,,356,3,97
"""360010025002""",1.00,307.00,200.00,23.30,30,36,33,15,18,17,15,17,16,3.52,30.18,1.15,1,1,14893,14610,14956,18,18,18,9091,8485,8743,5378,4835,5012,3379,3313,3392,334,337,339,251,253,255,9.4,9.7,18.12,8.58,24481,3,78464,74,2,1401,326,750,1071,640,26,75
"""360010025004""",1.00,401.00,135.00,12.91,49,60,56,34,42,39,15,18,17,7.24,75.67,1.19,1,1,15834,15550,15897,16,16,16,9437,8823,9081,5546,4995,5172,3592,3526,3605,299,302,304,224,227,228,9.2,9.8,10.98,10.46,23915,14,78888,76,2,744,400,1719,2560,1176,39,61
"""360010025005""",1.00,293.00,153.00,14.85,29,36,33,14,18,16,15,18,17,4.28,44.09,1.18,1,1,15840,15557,15903,17,17,17,9433,8820,9078,5524,4973,5151,3594,3528,3606,316,319,321,237,240,241,9.2,9.8,11.22,10.30,22985,13,77448,76,2,776,454,716,1018,654,17,83
"""360010026001""",1.00,1714.00,569.00,75.76,37,44,41,19,24,22,17,20,19,8.14,61.17,1.35,1,1,17343,17059,17406,14,14,14,10509,9859,10117,6316,5729,5906,3934,3869,3947,259,262,264,194,196,198,8.2,9.8,8.93,7.51,26074,44,74629,76,6,296,668,991,1127,878,45,55
"""360010026002""",1.00,841.00,325.00,79.41,30,36,34,14,17,16,16,19,18,6.56,26.85,1.26,1,1,16435,16151,16498,15,15,15,9904,9273,9531,5895,5328,5505,3728,3663,3741,280,283,285,210,212,214,8.6,9.8,8.55,4.09,25729,16,84118,77,9,250,760,693,,693,21,79
"""360010026003""",1.00,1479.00,616.00,197.52,30,36,34,13,16,15,17,20,19,5.83,18.19,1.32,1,1,16850,16566,16912,13,13,14,10217,9574,9832,6148,5569,5746,3822,3757,3835,246,249,251,185,187,188,8.5,9.8,6.96,3.12,22230,16,67032,75,8,262,706,670,677,665,42,58
