"GEOID","city","zip","housing.cost","household.co2","housing.units.per.acre","pct.owner.occupied","hi.wage.workers.home","jobs.per.household","jobs.within.45.drive","weighted.jobs.within.45.drive"
"360010023002","Albany city, NY","12202",865,5.98,22.43,0.29,118,0.044405,95260.6452,20073.7936677321
"360010025001","Albany city, NY","12202",356,3.54,26.96,0.03,84,0.95,90617.9212,88323.4241890504
"360010025002","Albany city, NY","12202",750,3.52,18.12,0.26,30,0.507837,100040.7637,71291.7323880236
"360010025003","Albany city, NY","12202",749,5.48,11.91,0.04,34,4.312281,95137.2484,197562.317896944
"360010025004","Albany city, NY","12202",1719,7.24,10.98,0.39,13,0,87954.5396,0
"360010025005","Albany city, NY","12202",716,4.28,11.22,0.17,36,0.11039,83342.647,27690.5866268995
"360010026001","Albany city, NY","12209",991,8.14,8.93,0.45,236,1.303823,84539.3761,96531.3449966083
"360010026001","Albany city, NY","12202",991,8.14,8.93,0.45,236,1.303823,84539.3761,96531.3449966083
"360010026002","Albany city, NY","12202",693,6.56,8.55,0.21,96,0.285714,79757.3859,42632.0946985816
"360010026002","Albany city, NY","12209",693,6.56,8.55,0.21,96,0.285714,79757.3859,42632.0946985816
"360010026003","Albany city, NY","12202",670,5.83,6.96,0.42,115,0.156535,80376.7735,31800.672002482
"360010026003","Albany city, NY","12209",670,5.83,6.96,0.42,115,0.156535,80376.7735,31800.672002482
"360010026004","Albany city, NY","12202",857,7.83,3.7,0.58,80,4.329377,79825.6279,166094.421423367
"360010127001","Cohoes city, NY","12047",1143,7.27,6.8,0.29,252,0.878543,60854.4311,57039.2384060663
"360010127002","Cohoes city, NY","12047",1098,7.09,7.7,0.56,116,0.176966,61115.6947,25709.739131052
"360010127003","Cohoes city, NY","12047",1065,7.26,6.71,0.46,87,0.111111,65566.765,21855.5774055364
"360010128001","Cohoes city, NY","12047",896,6.07,4.9,0.26,103,1.446301,73512.1805,88407.4060371722
"360010128002","Cohoes city, NY","12047",975,8.65,5.41,0.57,107,0.326761,66838.353,38206.8160914373
"360010128003","Cohoes city, NY","12047",946,6.59,14.89,0.22,116,0.195255,67014.3497,29612.0783329365
"360010128004","Cohoes city, NY","12047",762,5.84,13.51,0.21,102,0.459584,67663.8387,45871.0924085844
"360010129001","Cohoes city, NY","12047",1236,7.39,4.89,0.41,209,0.207018,60645.8784,27593.4081612996
"360010129002","Cohoes city, NY","12047",330,3.93,25.5,0.02,119,0.704809,65715.6283,55170.1779873203
"360010129003","Cohoes city, NY","12047",574,4.17,13.25,0.09,50,0.013937,62732.1687,7405.85068597227
"360010129004","Cohoes city, NY","12047",793,6.85,9.61,0.19,73,0.028571,62152.1588,10505.5534975388
