"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.home","med.wage.home","hi.wage.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.work","med.wage.work","hi.wage.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360010004033",1009,426,53.18,0.42,0.25,1308,0.17,6.88,1.36,15345,0.09,10293,7783,2372,135,9.8,88,6.99,8.2,8.01,1840,962,0.53,0.39,0.61,412385,395114,0.8662,47,138,175,469,107,141,221,4,0,0,4,0,0,0,0,0,0,3,0,1,0.011461,0,93067.5858,111945.7995
"360010140023",898,405,193.67,0.43,0.24,1223,0.2,8.26,1.61,19593,0.04,12293,9206,3028,58,9.7,88,4.73,5.5,2.09,1385,874,0.74,0.68,0.32,412385,395114,0.78215,22,209,321,585,152,227,206,148,19,7,30,42,12,34,3,1,0.838299,51,40,57,0.281369,0,89606.3284,108980.4117
"360010016004",1247,494,62.49,0.44,0.27,1413,0.17,7.13,1.41,16606,0.08,10739,8055,2566,115,9.8,88,8.11,8,7.91,1682,1135,0.43,0.51,0.49,412385,395114,0.81493,39,212,206,319,66,106,147,238,16,28,1,37,15,23,116,2,0.738711,70,109,59,0.543379,0,83312.8694,101301.7459
"360010022002",1101,597,28.28,0.3,0.15,794,0.15,4.92,1.19,13594,0.13,9063,6766,2101,191,9.9,88,21.14,9.3,21.11,1284,794,0.02,0.3,0.7,412385,395114,0.84699,211,263,111,446,116,191,139,211,148,9,15,39,0,0,0,0,0.637179,96,76,39,0.406551,0,94690.4233,104798.6738
"360010140021",797,254,79.28,0.41,0.22,1125,0.19,9.22,1.57,18802,0.04,11951,8980,2906,63,9.5,88,4.35,6.5,3.2,1394,712,0.69,0.61,0.39,412385,395114,0.80752,6,193,120,315,77,114,124,173,70,1,33,3,66,0,0,0,0.714452,79,72,22,0.569079,0,90651.0143,107454.7903
"360010006001",592,180,26.45,0.33,0.17,900,0.15,5.62,1.24,14469,0.15,9513,7060,2236,212,9.8,89,11.22,8.8,6.81,1171,900,0.16,0.43,0.57,412385,395114,0.74647,91,191,27,258,92,124,42,326,40,4,103,37,12,79,51,0,0.862149,98,133,95,1.381356,0,99352.8304,115562.413
"360010015001",1071,733,41.8,0.27,0.14,728,0.13,4.16,1.1,11588,0.18,8356,6291,1791,268,9.8,88,35.54,9.5,17.53,1529,728,0.01,0.02,0.98,412385,395114,0.96721,318,388,335,776,209,295,272,272,10,8,5,131,85,1,32,0,0.661058,93,88,91,0.294691,0,96372.2874,113255.7907
"360010025003",592,221,46.24,0.27,0.14,725,0.13,3.02,1.1,11250,0.16,8278,6297,1739,236,9.8,88,11.91,9.6,4.78,1259,725,0,0,1,412385,395114,0.72557,237,127,24,207,74,99,34,1229,6,226,107,13,37,1,107,732,0.591718,282,418,529,4.312281,0,95137.2484,106900.5599
"360830413005",659,178,81.69,0.43,0.25,1280,0.18,7.67,1.47,17410,0.07,11239,8408,2691,137,8.4,88,7.28,8.4,2.18,1495,1127,0.18,0.42,0.58,412385,395114,0.86567,49,163,109,338,82,113,143,2288,32,19,10,26,217,2,1980,2,0.257262,523,849,916,8.411765,0,70030.6689,100400.6065
"360830519014",536,241,6054.1,0.57,0.3,1551,0.27,10.88,2.25,25744,0,16834,12855,3979,0,4.4,84,0.29,0.1,0.04,1551,766,1,0.98,0.02,412385,395114,0.80376,0,21,229,284,83,68,133,134,47,24,54,0,9,0,0,0,0.882306,16,66,52,0.567797,0,24716.0818,43029.4465
