"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.workers.home","med.wage.workers.home","hi.wage.workers.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.workers.work","med.wage.workers.work","hi.wage.workers.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360010015001",1423,872,41.8,0.29,0.15,741,0.15,4.28,1.14,14829,0.18,9039,5338,3364,253,9.8,75,35.54,9.4,20.86,NA,741,0.05,0.04,0.96,412385,395114,0.96721,318,388,335,776,209,295,272,272,10,8,5,131,85,1,32,0,0.661058,93,88,91,0.294691,0,96372.2874,113255.7907
"360010003003",1278,702,528.28,0.46,0.26,1352,0.2,6.89,1.58,19798,0.08,12022,7392,4491,104,9.5,72,4.92,6.7,1.33,1737,973,0.52,0.5,0.5,412385,395114,0.91248,0,417,326,505,147,191,167,846,19,268,132,65,3,0,356,3,0.688975,115,372,359,1.247788,0,87232.6051,107591.5376
"360010003004",1732,646,170.07,0.35,0.18,934,0.16,4.55,1.3,15922,0.14,9960,6092,3612,192,9.5,72,12.23,8.9,3.8,1081,916,0.08,0.11,0.89,412385,395114,0.72577,337,210,226,772,220,319,233,1521,41,443,660,188,113,42,29,5,0.704003,256,459,806,2.151344,0,93767.192,112539.2484
"360010004031",1283,575,135.41,0.43,0.24,1240,0.18,6.59,1.5,17638,0.12,11213,6990,4001,166,9.5,72,5.25,7.6,4.25,1513,954,0.51,0.51,0.49,412385,395114,0.86983,99,363,205,566,98,210,258,3056,478,68,24,129,77,2,222,2056,0.529571,720,1109,1227,4.723338,0,93230.5316,111693.1657
"360010004011",2380,1023,2228.39,0.5,0.3,1531,0.2,7.13,1.62,20454,0.04,12293,7573,4640,60,8.4,67,5.88,7,0.46,1609,1400,0.18,0.63,0.37,412385,395114,0.93309,172,568,332,932,209,223,500,7928,1408,1578,840,1771,149,513,1328,341,0.907631,1603,2815,3510,7.795477,0,77877.2131,94019.0883
"360010004032",1441,683,93.86,0.47,0.29,1504,0.17,6.97,1.41,16826,0.13,10622,6565,3817,180,9.6,73,8.11,8.4,7.28,1918,1024,0.39,0.54,0.46,412385,395114,0.89056,7,457,288,750,154,256,340,13,3,1,0,6,0,1,1,1,0,7,3,3,0.01844,0,91741.524,110413.8756
"360010004033",755,376,53.18,0.42,0.25,1273,0.17,7.38,1.41,16965,0.13,10708,6611,3849,186,9.6,73,6.99,8.3,7.07,1834,892,0.46,0.4,0.6,412385,395114,0.8662,47,138,175,469,107,141,221,4,0,0,4,0,0,0,0,0,0,3,0,1,0.011461,0,93067.5858,111945.7995
"360010004034",859,626,493.13,0.47,0.28,1429,0.19,5.89,1.51,18255,0.11,11422,7069,4141,159,9.5,72,8.69,7.2,1.27,1929,846,0.43,0.54,0.46,412385,395114,0.8872,172,130,218,454,90,156,208,4542,130,19,2,51,21,23,35,4261,0.157476,686,1249,2607,9.175758,0,89712.7366,109873.9988
"360010005012",547,240,55.43,0.39,0.22,1121,0.17,5.36,1.36,16552,0.14,10365,6348,3755,196,9.6,73,6.28,8.5,4.33,1788,762,0.27,0.35,0.65,412385,395114,0.69921,75,109,53,252,61,125,66,494,95,15,25,14,2,0,343,0,0.53062,89,264,141,2.245455,0,93823.0428,111350.2462
"360010005013",662,349,16.64,0.36,0.21,1084,0.15,5.17,1.18,14968,0.17,9199,5496,3396,230,9.6,73,17.52,9.5,20.97,NA,1084,0.03,0.23,0.77,412385,395114,0.75796,80,147,53,226,66,93,67,36,8,0,0,9,7,12,0,0,0,21,10,5,0.138462,0,94061.51,113133.8696
"360010005014",1083,449,36.01,0.39,0.23,1165,0.16,5.78,1.25,15418,0.15,9617,5833,3498,214,9.6,72,18.23,9.2,12.47,1852,824,0.1,0.33,0.67,412385,395114,0.87863,194,177,163,492,152,181,159,74,0,3,41,0,16,14,0,0,0.795825,12,41,21,0.143969,0,95293.559,114138.0611
"360010005021",2173,95,104.2,0.33,0.16,793,0.17,3.97,1.38,17510,0.15,10690,6437,3972,211,9.7,74,6.75,8,0.91,NA,793,0.18,0.27,0.73,412385,395114,0.93146,80,54,11,502,154,176,172,1817,16,144,0,120,50,1040,442,5,0.616877,822,586,409,13.262774,0,93740.3973,110774.9375
"360010005022",1548,769,87.92,0.4,0.23,1195,0.16,6.57,1.32,16286,0.15,10111,6146,3695,202,9.6,73,9.63,8.8,8.75,1792,824,0.27,0.38,0.62,412385,395114,0.85151,155,409,231,573,164,184,225,168,0,18,6,8,3,0,131,2,0.458714,57,73,38,0.228571,0,92606.9956,111059.8332
"360010006001",494,154,26.45,0.29,0.14,706,0.15,3.85,1.17,15162,0.18,9257,5483,3440,251,9.8,76,11.22,9.2,5.82,NA,706,0.05,0.25,0.75,412385,395114,0.74647,91,191,27,258,92,124,42,326,40,4,103,37,12,79,51,0,0.862149,98,133,95,1.381356,0,99352.8304,115562.413
"360010006002",1200,326,29.73,0.31,0.16,817,0.15,6.24,1.15,14751,0.19,9060,5363,3346,263,9.8,75,16.82,9.3,10.97,NA,817,0.01,0.05,0.95,412385,395114,0.73238,144,173,150,235,82,115,38,435,38,75,10,20,33,1,257,1,0.614995,167,192,76,1.153846,0,98426.8455,115414.9052
"360010006003",2662,919,69.08,0.32,0.17,890,0.15,5.61,1.17,15030,0.18,9213,5473,3410,248,9.7,75,16.57,9.3,13.3,650,911,0.1,0.08,0.92,412385,395114,0.82888,456,218,254,627,257,257,113,444,114,68,28,72,122,0,40,0,0.93625,202,116,126,0.557789,0,97055.6246,113945.5762
"360010007001",1187,438,274.86,0.34,0.17,871,0.17,6.73,1.35,17097,0.12,10403,6294,3879,173,9.7,74,3.87,8.4,1.59,NA,871,0.13,0.16,0.84,412385,395114,0.72222,37,205,116,368,121,167,80,992,90,7,689,113,30,35,27,1,0.5204,92,425,475,3.139241,0,92064.8218,111320.0604
"360010007002",448,206,33.82,0.44,0.28,1424,0.16,4.83,1.25,15786,0.15,9726,5859,3581,215,9.7,75,10.44,8.9,6.09,2071,912,0.14,0.44,0.56,412385,395114,0.63549,189,217,31,359,124,154,81,72,1,0,59,5,0,0,6,1,0.418948,8,20,44,0.215569,0,95572.6602,114865.2366
"360010007003",1095,390,45.8,0.37,0.2,1047,0.16,6.4,1.28,16524,0.15,10008,5977,3749,213,9.8,75,9.23,8.7,8.52,1186,775,0.32,0.66,0.34,412385,395114,0.69486,145,220,126,397,139,182,76,42,7,0,22,1,12,0,0,0,0,24,15,3,0.109948,0,98830.2182,119109.2041
"360010007004",1014,341,36.8,0.32,0.17,846,0.15,3.94,1.22,15504,0.15,9487,5694,3517,207,9.8,76,10.41,9.1,9.27,NA,846,0.12,0.23,0.77,412385,395114,0.62618,272,252,82,330,121,148,61,76,0,0,1,2,0,0,71,2,0.225069,31,36,9,0.199475,0,94711.5885,112612.3231
"360010008001",387,131,21.49,0.32,0.18,901,0.15,4.33,1.13,14876,0.2,9012,5276,3375,271,9.8,76,14.22,9.3,6.1,NA,901,0.04,0.08,0.92,412385,395114,0.67453,190,61,78,266,97,110,59,104,8,21,52,7,16,0,0,0,0.83043,42,45,17,0.435146,0,101314.6471,115541.6107
"360010008002",1203,469,32.21,0.28,0.14,690,0.15,4.47,1.15,15004,0.18,9101,5358,3404,255,9.8,76,24.29,9.3,14.56,NA,690,0.11,0.12,0.88,412385,395114,0.73791,344,171,72,276,106,117,53,601,10,9,10,85,35,0,306,146,0.682897,174,289,138,1.252083,0,97574.6457,113518.6118
"360010008003",596,235,31.4,0.31,0.16,814,0.15,4.56,1.16,15072,0.18,9164,5413,3419,249,9.8,76,12,9.2,7.48,NA,814,0.05,0.18,0.82,412385,395114,0.76933,153,148,80,160,56,71,33,243,110,0,18,50,1,0,63,1,0.709962,104,104,35,0.820946,0,98012.8502,113567.0941
"360010014001",1528,1014,44.67,0.31,0.17,871,0.14,5.17,1.09,13745,0.21,8626,5113,3118,297,9.8,76,30.21,9.4,22.7,NA,871,0.04,0.1,0.9,412385,395114,0.94707,272,699,396,1044,249,358,437,1321,428,127,21,337,160,4,53,191,0.811045,509,352,460,1.093543,0,103023.5615,111870.9353
"360010011001",1249,674,430.96,0.24,0.09,436,0.15,2.55,1.19,15485,0.19,9456,5583,3513,271,9.8,75,61.56,8.9,1.56,739,408,0.03,0.08,0.92,412385,395114,0.89392,520,180,111,421,149,162,110,34545,343,2459,1096,5093,1438,1727,1100,21289,0.632764,4656,8721,21168,49,0,98655.2154,110624.0782
"360010014002",1251,910,26.95,0.33,0.19,957,0.14,3.97,1.06,14208,0.22,8575,4951,3223,301,9.8,76,38.02,9.5,33.77,1250,873,0,0.22,0.78,412385,395114,0.95307,100,444,427,470,109,154,207,472,13,7,19,201,193,1,37,1,0.599,241,137,94,0.545035,0,100433.8888,111342.4311
"360010014003",393,327,114.19,0.27,0.12,625,0.15,2.78,1.17,15230,0.19,9256,5455,3455,260,9.8,76,25.82,9.1,2.86,NA,625,0,0,1,412385,395114,0.95268,196,154,0,163,45,56,62,107,0,3,0,71,0,0,33,0,0.669169,24,48,35,0.324242,0,98451.2786,113547.9088
"360010015002",1144,416,27.87,0.32,0.17,844,0.16,7.56,1.21,15671,0.16,9524,5674,3555,222,9.8,75,19.34,9.2,14.93,NA,844,0.17,0.1,0.9,412385,395114,0.9211,103,155,285,341,81,158,102,63,0,1,0,6,0,0,56,0,0.358999,20,33,10,0.123772,0,94122.8489,111617.2103
"360010015003",1042,437,32.03,0.37,0.21,1063,0.16,5.21,1.24,15893,0.15,9666,5791,3606,202,9.8,75,14.7,9.1,13.64,1583,962,0.18,0.16,0.84,412385,395114,0.87147,86,227,168,302,81,132,89,23,0,1,0,3,0,0,19,0,0,5,8,10,0.052036,0,91520.818,108842.195
"360010015004",842,339,42.22,0.4,0.24,1227,0.16,7.92,1.25,16188,0.16,9793,5822,3672,224,9.8,75,9,9,8.03,1375,1161,0.19,0.31,0.69,412385,395114,0.84354,16,203,163,192,56,78,58,122,20,0,3,9,69,0,21,0,0.748743,66,35,21,0.344633,0,87716.8731,105620.2938
"360010016001",1118,402,55.98,0.34,0.18,926,0.16,5.63,1.27,15860,0.15,9798,5920,3598,210,9.7,74,13.81,9,7.18,1795,740,0.17,0.18,0.82,412385,395114,0.90846,205,181,283,853,220,284,349,132,4,2,5,13,52,0,55,1,0.663158,69,48,15,0.213247,0,91753.5145,109078.6644
"360010016002",788,334,52.11,0.45,0.28,1415,0.17,6.63,1.36,16908,0.12,10419,6367,3836,162,9.7,74,9.15,8.6,6.41,1784,1067,0.31,0.49,0.51,412385,395114,0.87677,28,168,202,330,77,132,121,113,2,9,0,11,13,0,78,0,0.624024,51,39,23,0.306233,0,88837.672,106725.0851
"360010016003",914,373,55.58,0.48,0.3,1522,0.18,7.87,1.43,17834,0.12,10940,6666,4046,172,9.7,75,7.45,8.1,6.71,1881,1029,0.5,0.58,0.42,412385,395114,0.82876,64,134,155,293,79,97,117,87,0,5,2,6,0,0,74,0,0.413317,16,59,12,0.254386,0,84434.7028,102789.2071
"360010016004",994,421,62.49,0.44,0.26,1331,0.18,7.62,1.4,17704,0.12,10797,6550,4016,174,9.7,74,8.11,8.3,6.74,1713,968,0.45,0.49,0.51,412385,395114,0.81493,39,212,206,319,66,106,147,238,16,28,1,37,15,23,116,2,0.738711,70,109,59,0.543379,0,83312.8694,101301.7459
"360010017001",996,449,93.08,0.44,0.27,1358,0.17,7.06,1.36,16904,0.14,10440,6338,3835,200,9.6,73,8.47,8.5,4.82,2215,757,0.35,0.41,0.59,412385,395114,0.85556,117,141,255,405,91,142,172,413,171,25,5,28,73,5,105,1,0.718113,207,158,48,0.860417,0,89253.8573,107103.28
"360010017002",1611,603,69.08,0.45,0.29,1457,0.17,8.82,1.36,16741,0.13,10379,6344,3798,178,9.7,74,8.96,8.7,8.73,1902,1202,0.34,0.36,0.64,412385,395114,0.85677,90,216,249,617,145,202,270,4,0,2,1,0,0,0,1,0,0,3,0,1,0.007952,0,88365.0259,106028.5528
"360010017003",1563,577,109.41,0.42,0.25,1269,0.18,7.66,1.41,17576,0.13,10811,6587,3987,177,9.6,73,7.91,8.2,5.27,1875,994,0.39,0.31,0.69,412385,395114,0.85111,90,320,234,707,176,256,275,4450,6,23,2,77,33,7,4286,16,0.102291,751,1929,1770,7.343234,0,83184.2982,100179.4622
"360010017004",637,300,66.28,0.49,0.3,1532,0.19,7.99,1.51,18595,0.11,11502,7072,4218,159,9.6,73,3.83,7.5,4.53,1813,1059,0.63,0.63,0.37,412385,395114,0.82375,9,157,76,246,63,89,94,44,35,0,1,0,8,0,0,0,0,19,22,3,0.187234,0,82628.1723,100593.8534
"360010018011",869,342,76.17,0.53,0.33,1683,0.2,8.27,1.65,19596,0.12,12366,7698,4445,167,9.6,72,3.82,5.5,4.49,1979,986,0.94,0.7,0.3,412385,395114,0.83021,0,94,195,257,67,56,134,5,0,0,1,4,0,0,0,0,0,3,2,0,0.017668,0,89841.1783,108809.5165
"360010018012",1626,786,209.52,0.49,0.3,1513,0.19,7.85,1.59,18943,0.1,11899,7423,4297,134,9.5,72,5.13,6.8,3.75,1688,1124,0.69,0.69,0.31,412385,395114,0.86107,49,395,369,634,158,153,323,15,0,0,1,8,0,0,6,0,0,8,2,5,0.019481,0,79000.5985,98738.9763
"360010018013",1574,704,172.75,0.47,0.27,1398,0.19,7.84,1.57,19178,0.11,11858,7312,4351,147,9.5,72,4.8,6.9,4.08,1585,970,0.68,0.7,0.3,412385,395114,0.84691,54,403,248,1046,257,313,476,1479,8,187,0,48,71,431,729,5,0.654694,369,675,435,2.165447,0,78214.964,96007.0485
"360010018014",884,449,152.96,0.5,0.3,1538,0.2,8.44,1.65,20105,0.1,12445,7700,4561,138,9.4,71,3.96,5.8,2.94,1661,1120,0.83,0.77,0.23,412385,395114,0.87139,30,236,195,475,97,134,244,91,24,0,1,8,6,32,19,1,0.790505,35,39,17,0.206818,0,80610.6193,100678.0947
"360010018015",2246,1089,1377.68,0.52,0.31,1581,0.21,8.16,1.72,21085,0.07,12933,8018,4783,99,9.4,71,2.15,4.9,0.79,2024,677,0.63,0.67,0.33,412385,395114,0.88105,113,475,532,941,214,262,465,460,1,27,23,43,42,97,227,0,0.743293,204,175,81,0.429907,0,65383.6438,83729.5994
"360010018021",1075,553,96.11,0.45,0.26,1319,0.19,7.49,1.53,18182,0.12,11467,7129,4125,160,9.5,72,5.3,7.4,5.75,1476,964,0.63,0.69,0.31,412385,395114,0.87601,0,216,244,349,97,121,131,66,0,6,2,6,0,0,51,1,0.499955,15,24,27,0.148984,0,88433.7556,108423.2591
"360010018022",1581,790,244.78,0.42,0.23,1181,0.19,7.26,1.55,18889,0.08,11668,7241,4285,107,9.4,71,5.56,7.5,3.23,1668,591,0.51,0.55,0.45,412385,395114,0.87957,146,365,302,828,197,281,350,26,0,0,17,9,0,0,0,0,0,8,16,2,0.033376,0,81539.1722,102123.8802
"360010018023",610,220,59.05,0.49,0.3,1511,0.19,8.97,1.57,19016,0.08,11790,7320,4314,117,9.5,71,5.59,7.5,3.73,1658,941,0.61,0.8,0.2,412385,395114,0.86925,29,158,113,318,80,109,129,7,0,0,0,6,0,0,0,1,0,3,0,4,0.024221,0,82823.9071,103423.1321
"360010018024",909,466,71.03,0.42,0.24,1206,0.19,6.68,1.54,18169,0.12,11536,7194,4122,166,9.5,72,7.32,7.4,6.56,1327,937,0.69,0.69,0.31,412385,395114,0.86877,93,207,194,386,92,139,155,171,39,10,5,37,52,0,27,1,0.833105,91,51,29,0.37013,0,86514.8494,106906.8679
"360010019011",656,242,66.5,0.52,0.32,1627,0.2,9.35,1.62,19990,0.12,12323,7570,4535,164,9.8,75,5.85,5.4,3.64,1663,1417,0.93,0.86,0.14,412385,395114,0.82006,4,90,155,244,63,64,117,129,0,0,0,0,2,120,7,0,0.263963,18,30,81,0.52439,0,82588.1856,100291.5253
"360010019012",755,381,56.91,0.47,0.28,1432,0.19,7.22,1.49,18521,0.12,11377,6961,4202,161,9.8,75,6.9,7.5,6.69,1484,1380,0.64,0.5,0.5,412385,395114,0.85479,36,190,137,419,99,142,178,34,14,0,1,1,0,0,18,0,0,2,19,13,0.094972,0,81957.4365,100110.4409
"360010019013",1274,511,91.82,0.53,0.34,1749,0.19,8.58,1.5,18733,0.11,11468,7007,4250,158,9.7,74,6.29,7.4,5.57,1826,1306,0.64,0.85,0.15,412385,395114,0.84478,0,253,323,767,149,231,387,32,4,0,2,1,0,0,25,0,0,12,16,4,0.058824,0,81229.7532,99231.5671
"360010019021",790,342,59.88,0.53,0.33,1669,0.2,9.19,1.62,20191,0.12,12362,7561,4581,166,9.8,75,5.46,5.4,5.71,1684,1500,1,0.92,0.08,412385,395114,0.82637,12,114,202,366,70,109,187,2,1,0,0,1,0,0,0,0,0,0,1,1,0.006289,0,77711.2482,98603.3896
"360010019022",909,417,74.43,0.5,0.3,1542,0.2,8.26,1.59,19810,0.11,12121,7424,4494,153,9.7,74,5.06,6.4,5.6,1663,743,0.87,0.87,0.13,412385,395114,0.80916,54,122,192,404,86,103,215,33,0,1,0,3,0,0,29,0,0,9,17,7,0.092697,0,76693.0036,96167.8835
"360010019023",920,456,155.48,0.52,0.31,1574,0.21,8.2,1.69,20799,0.11,12807,7894,4718,146,9.7,74,3.81,4.3,2.93,1574,NA,1,0.99,0.01,412385,395114,0.80608,6,267,197,699,140,210,349,11,0,0,0,11,0,0,0,0,0,10,1,0,0.02407,0,74424.9366,94697.9627
"360010020001",1909,642,88.97,0.43,0.27,1366,0.17,7.65,1.3,16581,0.15,10124,6094,3762,202,9.8,76,8.26,8.6,7.22,1789,961,0.26,0.49,0.51,412385,395114,0.77903,128,282,309,689,192,290,207,242,1,11,0,48,6,24,150,2,0.58636,48,125,69,0.363363,0,83585.2747,103196.6423
"360010020002",1437,453,31.52,0.4,0.22,1114,0.18,8.57,1.4,18011,0.14,10895,6553,4086,192,9.8,75,13.55,8.1,14.37,1341,859,0.61,0.53,0.47,412385,395114,0.74108,113,252,98,419,106,190,123,61,22,0,13,5,16,0,4,1,0.83682,37,15,9,0.150246,0,81738.6411,102382.8678
"360010020003",776,322,34.03,0.36,0.2,1027,0.16,7.12,1.27,16395,0.13,9898,5933,3719,185,9.7,75,10.49,9,9.46,1283,913,0.16,0.31,0.69,412385,395114,0.77076,87,119,162,317,94,127,96,30,0,0,0,1,18,0,11,0,0,13,12,5,0.086207,0,82150.0912,104662.2529
"360010020004",838,357,46.9,0.39,0.21,1074,0.18,7.97,1.4,17924,0.13,10866,6557,4066,183,9.7,75,8.4,8.1,7.61,1411,874,0.5,0.37,0.63,412385,395114,0.7775,38,215,99,491,118,191,182,84,28,11,2,8,15,0,20,0,0.890006,47,28,9,0.244898,0,78872.9403,101061.6195
"360010020005",1234,574,512.97,0.42,0.23,1176,0.19,8.21,1.55,19778,0.1,11898,7231,4487,136,9.7,74,7.79,6.5,1.12,1443,827,0.52,0.57,0.43,412385,395114,0.78145,121,227,343,851,227,342,282,256,27,1,58,119,35,0,16,0,0.779519,86,95,75,0.393241,0,81097.5098,104048.6727
"360010021001",1053,511,29.56,0.31,0.17,865,0.14,5.59,1.09,14747,0.2,8788,5081,3345,271,9.8,77,23.83,9.5,17.29,NA,865,0,0.03,0.97,412385,395114,0.7616,293,232,174,388,96,193,99,88,27,20,5,9,26,0,0,1,0.840785,49,30,9,0.148649,0,98470.3481,109866.6987
"360010021002",1296,173,257.31,0.4,0.22,1107,0.18,6.04,1.41,18628,0.15,11073,6569,4226,209,9.9,77,3.81,7.1,0.67,1481,841,0.34,0.42,0.58,412385,395114,0.84596,88,129,71,309,68,139,102,5258,16,48,2,280,165,1085,2545,1117,0.641647,1060,1512,2686,20.459144,0,84411.1721,97990.7886
"360010021003",654,251,74.05,0.33,0.17,870,0.16,5.71,1.28,16392,0.15,9989,5984,3719,215,9.8,77,18.78,8.5,3.39,NA,870,0.2,0.2,0.8,412385,395114,0.90022,132,232,114,539,139,209,191,9588,0,492,0,130,22,1157,7743,44,0.377916,837,3251,5500,23.850746,0,91917.6608,104978.3732
"360010022001",1116,768,33.1,0.32,0.18,927,0.14,4.35,1.09,14334,0.2,8711,5095,3252,273,9.8,76,26.63,9.5,23.2,1459,697,0.01,0.3,0.7,412385,395114,0.88103,280,465,195,627,163,251,213,158,5,15,1,58,64,1,14,0,0.691489,61,61,36,0.186541,0,98939.289,110035.9804
"360010022002",1341,629,28.28,0.31,0.17,855,0.15,5.14,1.11,14815,0.18,8899,5204,3361,251,9.8,76,21.14,9.4,22.24,1092,752,0.04,0.3,0.7,412385,395114,0.84699,211,263,111,446,116,191,139,211,148,9,15,39,0,0,0,0,0.637179,96,76,39,0.406551,0,94690.4233,104798.6738
"360010023001",753,478,35.91,0.3,0.14,739,0.15,3.94,1.19,15557,0.16,9377,5560,3529,216,9.8,76,17.44,9.2,13.31,1057,630,0.1,0.26,0.74,412385,395114,0.74524,275,221,53,419,150,179,90,50,5,6,3,8,1,0,26,1,0.741674,16,26,8,0.109409,0,91011.3413,102765.4677
"360010023002",1033,472,122.33,0.33,0.17,865,0.16,5.98,1.23,15670,0.15,9570,5731,3555,213,9.8,76,22.43,8.9,3.86,1184,733,0.07,0.29,0.71,412385,395114,0.79819,76,466,143,493,160,215,118,25,1,0,0,9,11,4,0,0,0,11,12,2,0.044405,0,95260.6452,104360.6701
"360010025003",688,262,46.24,0.3,0.15,749,0.15,5.48,1.19,15379,0.17,9348,5554,3489,229,9.7,74,11.91,9.2,5.67,NA,749,0.02,0.04,0.96,412385,395114,0.72557,237,127,24,207,74,99,34,1229,6,226,107,13,37,1,107,732,0.591718,282,418,529,4.312281,0,95137.2484,106900.5599
"360010025001",741,467,67.38,0.22,0.07,356,0.15,3.54,1.21,15207,0.14,9363,5652,3450,196,9.6,73,26.96,9.3,6.93,NA,356,0.02,0.03,0.97,412385,395114,0.75704,319,98,18,347,118,145,84,399,36,35,197,17,4,3,107,0,0.693392,89,170,140,0.95,0,90617.9212,105317.7219
"360010025002",307,200,23.3,0.3,0.15,750,0.15,3.52,1.15,14893,0.18,9091,5378,3379,251,9.7,74,18.12,9.4,8.58,1071,640,0.03,0.26,0.75,412385,395114,0.68144,99,235,60,205,79,96,30,162,12,17,21,46,4,0,61,1,0.792565,64,74,24,0.507837,0,100040.7637,108827.8414
"360010025004",401,135,12.91,0.49,0.34,1719,0.15,7.24,1.19,15834,0.16,9437,5546,3592,224,9.8,76,10.98,9.2,10.46,2560,1176,0.14,0.39,0.61,412385,395114,0.66453,130,87,8,137,43,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87954.5396,103077.8628
"360010025005",293,153,14.85,0.29,0.14,716,0.15,4.28,1.18,15840,0.17,9433,5524,3594,237,9.8,76,11.22,9.2,10.3,1018,654,0.13,0.17,0.83,412385,395114,0.67424,158,54,4,209,90,83,36,17,2,0,5,2,8,0,0,0,0,14,3,0,0.11039,0,83342.647,99295.3728
